images,specs,category,product_type,brand,type,sku,normal_price,description,tags,link_tokopedia,link_whatsapp,image_1,image_2,image_3,image_4,slug,name
https://ik.imagekit.io/eropa/products/AC_SHARP_AHA9UCYN_m_B1Wp8VAd_.png?updatedAt=1632301040779 https://ik.imagekit.io/eropa/products/AHA9UCY_2_ivliqBkaTcJ.png?updatedAt=1632301038551 https://ik.imagekit.io/eropa/products/AHA9UCY_4_DVTXSCLidh.png?updatedAt=1632301039765 https://ik.imagekit.io/eropa/products/AHA9UCY_3_cZnoK2jPb.png?updatedAt=1632301038974,"[{""name"":""Rated input selection/impedance"",""value"":""750 W""},{""name"":""Warna"",""value"":""Putih""},{""name"":""Capacity"",""value"":""1 pk""},{""name"":""Ice Make"",""value"":"" ""},{""name"":""Cakupan Area"",""value"":""11-18 m2""},{""name"":""Swing"",""value"":""2 - Way Auto Swing""},{""name"":""Self cleaning function"",""value"":""Yes, X-Fan Function\n""},{""name"":""Remote control"",""value"":""Yes""},{""name"":""Cool (kw)"",""value"":""2,64""},{""name"":""Cooling capacity"",""value"":""9000 BTU""},{""name"":""Liquid side"",""value"":""1/4 Inch""},{""name"":""Gas side"",""value"":""3/8 Inch""},{""name"":""Refrigerant volume"",""value"":""R32""},{""name"":""In door dimensions"",""value"":""773 x 250 x 185 mm""},{""name"":""Out door dimensions"",""value"":""848 x 596 x 320 mm""},{""name"":""Berat in door"",""value"":""8,5 kg""},{""name"":""Berat out door"",""value"":""28,5 kg""}]",AC & Cooler,1 PK,Sharp,AHA9UCYN,,3527500,"<p>Fitur<br />- R32 Freon terbaru yang sangat ramah lingkungan &amp; tidak merusak lapisan ozon<br />- Turbo Cool, Kipas unit indoor akan bekerja dengan kecepatan maksimum untuk mempercepat pendinginan ruangan<br />- Self Diagnosis, Ketika status AC dalam keadaan tidak normal, panel pada unit akan berkedip untuk menunjukkan kode error yang sedang terjadi<br />-X-Fan Function, Jika AC dimatikan, kipas unit indoor akan tetap beroperasi sebentar dengan kecepatan rendah untuk meniupkan sisa air di dalam saluran udara</p>","AC,pendinginruangan,acmurah,acsharp,ac1pk",https://www.tokopedia.com/tokoeropa-1/ac-sharp-1pk-ah-a9ucyn-9ucyn-a9ucyn-aha9ucyn-freon-r32-ac-1-pk,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/AC_SHARP_AHA9UCYN_m_B1Wp8VAd_.png?updatedAt=1632301040779,https://ik.imagekit.io/eropa/products/AHA9UCY_2_ivliqBkaTcJ.png?updatedAt=1632301038551,https://ik.imagekit.io/eropa/products/AHA9UCY_4_DVTXSCLidh.png?updatedAt=1632301039765,https://ik.imagekit.io/eropa/products/AHA9UCY_3_cZnoK2jPb.png?updatedAt=1632301038974,ac-cooler-1-pk-sharp-aha9ucyn,AC & Cooler 1 PK Sharp AHA9UCYN
https://ik.imagekit.io/eropa/products/AC_POLYTRON_PAC9VH_vjC3i9XFnV.png?updatedAt=1632301519778,"[{""name"":""Rated input selection/impedance"",""value"":""450 W""},{""name"":""Power Supply"",""value"":""150 V - 240 V / 50 Hz""},{""name"":""Warna"",""value"":""Putih""},{""name"":""Capacity"",""value"":""1 pk""},{""name"":""Noise Level"",""value"":""Out Door : 29 - 34 dB (A), Out Door : 50 dB (A)""},{""name"":""Timer"",""value"":""24 Hours""},{""name"":""Swing"",""value"":""Yes, 2-Way""},{""name"":""Refrigerant volume"",""value"":""R32""},{""name"":""In door dimensions"",""value"":""770 x 220 x 258 mm""},{""name"":""Out door dimensions"",""value"":""660 x 240 x 482 mm""},{""name"":""Berat in door"",""value"":""8 kg""},{""name"":""Berat out door"",""value"":""20 kg""}]",AC & Cooler,1 PK,Polytron,PAC9VH,,2797500,"<p>Fitur keren AC<br />- 9000 Btu/h - Bisa mendinginkan ruangan sampai 16m2.<br />- Garansi 3 Tahun Sparepart, 5 Tahun Kompressor.<br />- Auto cleaning membersihkan evaporator secara otomatis<br />- Leakage Detector - sistem kendali elektronik akan mendeteksi tanda-tanda kerusakan dini pada sistem pendingin<br />- Auto Restart dapat secara otomatis menghidupkan kembali mesin ac setelah terjadi putus listrik udara</p>","AC,pendinginruangan,acmurah,acsharp,ac1pk",https://www.tokopedia.com/tokoeropa-1/ac-polytron-1pk-1-pk-pac-09vh-r32,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/AC_POLYTRON_PAC9VH_vjC3i9XFnV.png?updatedAt=1632301519778,,,,ac-cooler-1-pk-polytron-pac9vh,AC & Cooler 1 PK Polytron PAC9VH
https://ik.imagekit.io/eropa/products/Mitochiba_CH_100_S8SEKeujhO.png?updatedAt=1632302102052 https://ik.imagekit.io/eropa/products/CH100_3_1wypfAKbN.png?updatedAt=1632301912242 https://ik.imagekit.io/eropa/products/CH100_2_C-x5TONC9aD.png?updatedAt=1632301911838,"[{""name"":""Berat"",""value"":""4 kg""},{""name"":""Capacity"",""value"":""1,5 L""},{""name"":""Aksesoris"",""value"":""\u003cp\u003eKelengkapan :\u003cbr /\u003e1 Chopper besar 1.5 liter\u003cbr /\u003e1 Chopper kecil 700ml\u003cbr /\u003e1 Pengocok telur\u003cbr /\u003e4 Set mata pisau\u003cbr /\u003eKartu Garansi \u0026amp; Manual\u003c/p\u003e""}]",Chopper,Listrik,Mitochiba,CH 100,,523000,"<p>Kegunaan Food Chopper Mitochiba:<br />- Menggiling bumbu2 dapur<br />- Menggiling halus daging sapi/ayam/ikan<br />- Menghaluskan es batu<br />- Mengocok telur putih<br />- Membuat juice<br />- Membuat Bakso<br />- Selai kacang, strawberry dll</p>","Chopper,pengiris,choppermitochiba",https://www.tokopedia.com/tokoeropa-1/mitocibha-ch-100-food-chopper-pengaduk-penggiling-daging-dan-bumbu-merah-hitam,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Mitochiba_CH_100_S8SEKeujhO.png?updatedAt=1632302102052,https://ik.imagekit.io/eropa/products/CH100_3_1wypfAKbN.png?updatedAt=1632301912242,https://ik.imagekit.io/eropa/products/CH100_2_C-x5TONC9aD.png?updatedAt=1632301911838,,chopper-listrik-mitochiba-ch-100,Chopper Listrik Mitochiba CH 100
https://ik.imagekit.io/eropa/products/AC_LG_T10EV4_5rwER5a4r5.png?updatedAt=1632302822168 https://ik.imagekit.io/eropa/products/T10EV4_4_GZJ503S1_1.png?updatedAt=1632302821187 https://ik.imagekit.io/eropa/products/T10EV4_3_qzohxveF5.png?updatedAt=1632302820301 https://ik.imagekit.io/eropa/products/T10EV4_2_EQ_7uMJpjUS.png?updatedAt=1632302819661,"[{""name"":""Berat"",""value"":""30 kg""},{""name"":""Rated input selection/impedance"",""value"":""920 (250-1.000) Watt""},{""name"":""Power Supply"",""value"":""220 - 240 V""},{""name"":""Capacity"",""value"":""1 pk""},{""name"":""Jenis"",""value"":""Split Inverter - Eco""},{""name"":""Swing"",""value"":""yes""},{""name"":""Cooling capacity"",""value"":""\t9.200 (3.000-9.500) Btu/h""},{""name"":""Comfort air"",""value"":""Yes""},{""name"":""Watt control"",""value"":""Yes""},{""name"":""In door dimensions"",""value"":""756 x 256 x 184 mm""},{""name"":""Out door dimensions"",""value"":""720 x 500 x 230 mm""},{""name"":""Berat in door"",""value"":""7,7 kg""},{""name"":""Berat out door"",""value"":""22,2 kg""}]",AC & Cooler,1 PK,LG,T10EV4,,4274000,<p>Fitur Utama :<br />- Dual Inverter Compressor&trade; dengan Garansi 10 Tahun<br />- Watt Control<br />- Pendinginan Cepat<br />- Tidak Bising</p>,"AC,pendinginruangan,acmurah,acsharp,ac1pk",https://www.tokopedia.com/tokoeropa-1/ac-lg-t10ev4-1-pk-dual-inverter-lg-t-10ev4-1-pk,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/AC_LG_T10EV4_5rwER5a4r5.png?updatedAt=1632302822168,https://ik.imagekit.io/eropa/products/T10EV4_4_GZJ503S1_1.png?updatedAt=1632302821187,https://ik.imagekit.io/eropa/products/T10EV4_3_qzohxveF5.png?updatedAt=1632302820301,https://ik.imagekit.io/eropa/products/T10EV4_2_EQ_7uMJpjUS.png?updatedAt=1632302819661,ac-cooler-1-pk-lg-t10ev4,AC & Cooler 1 PK LG T10EV4
https://ik.imagekit.io/eropa/products/Rinnai_Kompor_Gas_2_Tungku_Teflon_RI-302S_48Y86fbkdg.png?updatedAt=1632365808485 https://ik.imagekit.io/eropa/products/RI-302S_3_MgHv7_uobG.png?updatedAt=1632365752709 https://ik.imagekit.io/eropa/products/RI-302S_2_aFF6Je9UCy.png?updatedAt=1632365752995,"[{""name"":""Berat"",""value"":""6 kg""},{""name"":""Panjang"",""value"":""60 cm""},{""name"":""Lebar"",""value"":""36,5 cm""},{""name"":""Tinggi"",""value"":""14 cm""},{""name"":""Material"",""value"":""Teflon""}]",Kompor & Peralatan Masak,2 Tungku,Rinnai,RI302S,,285000,"<p>Detail Produk *TIDAK TERMASUK SELANG, HANYA UNIT KOMPOR SAJA*<br />- Kompor Gas<br />- Jumlah Tungku : 2 Tungku<br />- Body yang kuat sehingga dapat menahan beban hingga 40 kg<br />- Memiliki efisiensi tinggi terhadap pemakaian gas yang dapat menghemat hingga 20 %<br />- Desainnya dipakai one press body sehingga dapat memasak dengan panci yang berukuran 28 cm<br />- Dimensi 60 cm x 36.5 cm x 14 cm</p>","Kompor rinnai, kompor 2 tungku",https://www.tokopedia.com/tokoeropa-1/rinnai-kompor-gas-2-tungku-teflon-ri-302s,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Rinnai_Kompor_Gas_2_Tungku_Teflon_RI-302S_48Y86fbkdg.png?updatedAt=1632365808485,https://ik.imagekit.io/eropa/products/RI-302S_3_MgHv7_uobG.png?updatedAt=1632365752709,https://ik.imagekit.io/eropa/products/RI-302S_2_aFF6Je9UCy.png?updatedAt=1632365752995,,kompor-peralatan-masak-2-tungku-rinnai-ri302s,Kompor & Peralatan Masak 2 Tungku Rinnai RI302S
https://ik.imagekit.io/eropa/products/COSMOS_stand_fan_16_SDB__kipas_angin_berdiri_16_inch_E124PaxsKo.png?updatedAt=1632366153410,"[{""name"":""Berat"",""value"":""7 kg""},{""name"":""Rated input selection/impedance"",""value"":""45 W""},{""name"":""Tombol"",""value"":""3 Level Kecepatan \u0026 Tombol Berhenti (Tombol Model Berputar)""},{""name"":""Tinggi Bisa Diatur"",""value"":""Yes""},{""name"":""Bilah Kipas"",""value"":""16 Inch""}]",Kipas Angin,Stand Fan,Cosmos,16SDB,,235000,"Kipas Angin merupakan kipas angin berdiri persembahan dari Cosmos yang memiliki 3 kecepatan angin. Ruangan Anda akan terasa lebih sejuk karena dengan kipas angin ini membantu sirkulasi udara. Dengan motor dan kipas berukuran 16"" yang berkualitas, nikmati ruangan yang sejuk dengan Cosmos 16 SDB Kipas Angin.","Kipasangin,standfan,kipasanginberdiri,kipascosmos,cosmos",https://www.tokopedia.com/tokoeropa-1/cosmos-kipas-angin-16-sdb-hitam,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/COSMOS_stand_fan_16_SDB__kipas_angin_berdiri_16_inch_E124PaxsKo.png?updatedAt=1632366153410,,,,kipas-angin-stand-fan-cosmos-16sdb,Kipas Angin Stand Fan Cosmos 16SDB
https://ik.imagekit.io/eropa/products/Stand_Fan_COSMOS_16XDC_9fpJzeA8tv.png?updatedAt=1632366581839,"[{""name"":""Berat"",""value"":""6,5 kg""},{""name"":""Rated input selection/impedance"",""value"":""46 W""},{""name"":""Tombol"",""value"":""3 Level Kecepatan \u0026 Tombol Berhenti (Tombol Model Berputar)""},{""name"":""Tinggi Bisa Diatur"",""value"":""Yes""},{""name"":""Bilah Kipas"",""value"":""16 Inch""}]",Kipas Angin,Stand Fan,Cosmos,16XDC,,215500,"<p>-Kipas Angin Berdiri / Stand Fan dengan bilah kipas berukuran 16 inch. Memiliki 3 level kecepatan dan tombol berhenti yang dapat digunakan sesuai dengan kebutuhan.</p>
<p>&nbsp;</p>
<p>-Desain elegan dengan tombol model berputar (Rotary Model Switch). Blade dirancang untuk menghasilkan angin sejuk yang lebih melebar dan merata ke seluruh ruangan.</p>","Kipasangin,standfan,kipasanginberdiri,kipascosmos,cosmos",https://www.tokopedia.com/tokoeropa-1/cosmos-kipas-angin-berdiri-16-xdc-stand-fand-kaki-silang,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Stand_Fan_COSMOS_16XDC_9fpJzeA8tv.png?updatedAt=1632366581839,,,,kipas-angin-stand-fan-cosmos-16xdc,Kipas Angin Stand Fan Cosmos 16XDC
https://ik.imagekit.io/eropa/products/Kulkas_SHARP_SJN162D-AB_Nwc975nY8q.png?updatedAt=1632367887598,"[{""name"":""Berat"",""value"":""25 kg""},{""name"":""Panjang"",""value"":""550 mm""},{""name"":""Lebar"",""value"":""535 mm""},{""name"":""Tinggi"",""value"":""970 mm""},{""name"":""Rated input selection/impedance"",""value"":""84 W""},{""name"":""Power Supply"",""value"":""220 - 240 V""},{""name"":""Cooling System"",""value"":""Direct Cooling""},{""name"":""Warna"",""value"":""Biru""},{""name"":""Capacity"",""value"":""Gross : 133 L Netto : 128 L""},{""name"":""Refrigrant"",""value"":""HFC-134a""}]",Kulkas,1 Pintu,Sharp,SJN162DAB,,1669500,<p>Fitur utama:<br />- New Design line and Color<br />- Dengan variasi warna dan corak bunga meningkatkan nilai estetika lemari es.</p>,"kulkas,kulkas1pintu,kulkassharp",https://www.tokopedia.com/tokoeropa-1/kulkas-1-pintu-sharp-sjn-162d-ab-new-series-low-watt,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_SHARP_SJN162D-AB_Nwc975nY8q.png?updatedAt=1632367887598,,,,kulkas-1-pintu-sharp-sjn162dab,Kulkas 1 Pintu Sharp SJN162DAB
https://ik.imagekit.io/eropa/products/Freezer_AQUA_AQFS6__bk60spPZH.png?updatedAt=1632381424481,"[{""name"":""Berat"",""value"":""43 kg""},{""name"":""Panjang"",""value"":""545 mm""},{""name"":""Lebar"",""value"":""635 mm""},{""name"":""Tinggi"",""value"":""1195 mm""},{""name"":""Rated input selection/impedance"",""value"":""100 w""},{""name"":""Power Supply"",""value"":""220 V""},{""name"":""Pintu"",""value"":""silver""},{""name"":""Capacity"",""value"":""167 L""},{""name"":""Refrigrant"",""value"":""R-134A""},{""name"":""Panjang Kabel"",""value"":""1,5 m""}]",Kulkas,Freezer,Aqua,AQFS6 ,,3025000,"Aqua Home Freezer AQF-S6 6 Rak hadir dengan desain elegan dan kecanggihan teknologi serta kualitas.
Dilengkapi dengan garansi kompressor yang lebih lama yaitu 7 Tahun, bodi yang tahan karat , Top Table, 100 % CFC Free serta di voltase rendah mesin sanyo freezer tetap jalan.","freezer,pendingin aqua",https://www.tokopedia.com/tokoeropa-1/freezer-aqua-aqf-s6-s-aqua-aqfs6-s-6rak-lemari-es-pembeku-es-batu,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Freezer_AQUA_AQFS6__bk60spPZH.png?updatedAt=1632381424481,,,,kulkas-freezer-aqua-aqfs6,Kulkas Freezer Aqua AQFS6 
https://ik.imagekit.io/eropa/products/Mesin_Cuci_SHARP_ESH858T_67jiusOaz6.png?updatedAt=1632369194593 https://ik.imagekit.io/eropa/products/Mesin_Cuci_SHARP_ESH858T_1__wweXgrRHVv.png?updatedAt=1632369195429,"[{""name"":""Berat"",""value"":""23 kg""},{""name"":""Panjang"",""value"":""610 mm""},{""name"":""Lebar"",""value"":""582 mm""},{""name"":""Tinggi"",""value"":""1010 mm""},{""name"":""Rated input selection/impedance"",""value"":""330 Watt (Spin) | 450 Watt (Wash)""},{""name"":""Power Supply"",""value"":""220V/50Hz""},{""name"":""Warna"",""value"":""Grey Coloured Body with Black Tempered Glass Lid""},{""name"":""Capacity"",""value"":""8,5 kg""}]",Mesin Cuci,Front Loading,Sharp,ESH858T,,2934000,"<div>
<div class=""product--variation-field--variation_field_features__1586 field field--name-field-features field--type-text-long field--label-hidden field--item"">
<p><strong>Fitur Utama :</strong></p>
<ul>
<li>Quick Wash Technology</li>
<li>Full Big True Tempered Glass Lid with Damper</li>
<li>Power Off Memory</li>
<li>Zero Pressure</li>
</ul>
</div>
</div>","mesincuci,toploading,mesincucitoploading,mesincucisharp,sharp",https://www.tokopedia.com/tokoeropa-1/mesin-cuci-top-loading-sharp-8-5-kg-esh858t-esh-858t,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Mesin_Cuci_SHARP_ESH858T_67jiusOaz6.png?updatedAt=1632369194593,https://ik.imagekit.io/eropa/products/Mesin_Cuci_SHARP_ESH858T_1__wweXgrRHVv.png?updatedAt=1632369195429,,,mesin-cuci-front-loading-sharp-esh858t,Mesin Cuci Front Loading Sharp ESH858T
https://ik.imagekit.io/eropa/products/AC_AQUA_KCRV9WGW_U7nwRMl2o0w.png?updatedAt=1632370184257,"[{""name"":""Rated input selection/impedance"",""value"":""850 (300-850) Watt""},{""name"":""Warna"",""value"":""Hitam""},{""name"":""Jenis"",""value"":""INVERTER""},{""name"":""Refrigrant"",""value"":""R32""},{""name"":""Cakupan Area"",""value"":""4 m2""},{""name"":""Cooling capacity"",""value"":""9000 BTU/h""}]",AC & Cooler,1 PK,Aqua,AQAKCRV9WGW,,5161000,"<div class=""product--variation-field--variation_field_features__1586 field field--name-field-features field--type-text-long field--label-hidden field--item"">
<p>Fitur :<br />- Fast Cool <br />- Long Distance Airflow <br />- Anti Corrosion - Blue Fin <br />- Long Life PCB </p>
</div>","AC,pendinginruangan,acmurah,acaqua,ac1pk",https://www.tokopedia.com/tokoeropa-1/ac-inverter-plus-1-pk-by-aqua-japan-black-mirror-aqa-kcrv9wgw,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/AC_AQUA_KCRV9WGW_U7nwRMl2o0w.png?updatedAt=1632370184257,,,,ac-cooler-1-pk-aqua-aqakcrv9wgw,AC & Cooler 1 PK Aqua AQAKCRV9WGW
https://ik.imagekit.io/eropa/products/AC_POLYTRON_09VX_BfsjnzTUDO.png?updatedAt=1632371851917 https://ik.imagekit.io/eropa/products/AC_POLYTRON_09VX_2_iz5tZwyLxZ.png?updatedAt=1632371853199 https://ik.imagekit.io/eropa/products/AC_POLYTRON_09VX_3_eX_qEV6_9JL.png?updatedAt=1632371852416,"[{""name"":""Rated input selection/impedance"",""value"":""880 W""},{""name"":""Power Supply"",""value"":""150 V- 240 V, 50 hz""},{""name"":""Refrigrant"",""value"":""R410A""},{""name"":""Noise Level"",""value"":""32 dB (Ind) ; 52 dB (Out)""},{""name"":""Cakupan Area"",""value"":""18 m2""},{""name"":""Timer"",""value"":""24 Hours""},{""name"":""Cooling capacity"",""value"":""9.500 BTU""},{""name"":""In door dimensions"",""value"":""880 x 207 x 275 mm""},{""name"":""Out door dimensions"",""value"":""660 x 240 x 482 mm""},{""name"":""Berat in door"",""value"":""8 kg""},{""name"":""Berat out door"",""value"":""20,5 kg""}]",AC & Cooler,1 PK,Polytron,PAC09VX,,2926000,"<div class=""product--variation-field--variation_field_features__1586 field field--name-field-features field--type-text-long field--label-hidden field--item"">
<p>Fitur :<br />- Fast Cooling<br />- Air Purifier<br />- Hemat Energi<br />- Soft Start<br />- Gold Fin</p>
</div>","AC,pendinginruangan,acmurah,acpolytron,ac1pk",https://www.tokopedia.com/tokoeropa-1/ac-polytron-neuva-ice-pac-09vx-1-pk-1pk-09-vx-split,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/AC_POLYTRON_09VX_BfsjnzTUDO.png?updatedAt=1632371851917,https://ik.imagekit.io/eropa/products/AC_POLYTRON_09VX_2_iz5tZwyLxZ.png?updatedAt=1632371853199,https://ik.imagekit.io/eropa/products/AC_POLYTRON_09VX_3_eX_qEV6_9JL.png?updatedAt=1632371852416,,ac-cooler-1-pk-polytron-pac09vx,AC & Cooler 1 PK Polytron PAC09VX
https://ik.imagekit.io/eropa/products/Kulkas_LG_GN201CK_SnG5X8AxjOq.png?updatedAt=1632373657801 https://ik.imagekit.io/eropa/products/GN-201CK_OQ2BszZ6A2d.png?updatedAt=1632378395280,"[{""name"":""Berat"",""value"":""35 kg""},{""name"":""Panjang"",""value"":""\t525 mm""},{""name"":""Lebar"",""value"":""1135 mm""},{""name"":""Tinggi"",""value"":""555 mm""},{""name"":""Rated input selection/impedance"",""value"":""70 W""},{""name"":""Pintu"",""value"":""Dark Graphite Steel""},{""name"":""Cooling System"",""value"":""Direct Cooling""},{""name"":""Capacity"",""value"":""169L/164L""}]",Kulkas,1 Pintu,LG,GN201CK,,2229500,"<div class=""product--variation-field--variation_field_features__1586 field field--name-field-features field--type-text-long field--label-hidden field--item"">
<p>Fitur :<br />- Bio Shield<br />- Bigger Fruits &amp; Veggie Box<br />- Moist Balance Crisper<br />- Semi Auto Defrost<br />- Tempered Glass Shelves</p>
</div>","kulkas,kulkas1pintu,kulkasLG",https://www.tokopedia.com/tokoeropa-1/kulkas-1-pintu-169-l-lg-gn-201ck-gn-201-ck-gn-201-ck,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_LG_GN201CK_SnG5X8AxjOq.png?updatedAt=1632373657801,https://ik.imagekit.io/eropa/products/GN-201CK_OQ2BszZ6A2d.png?updatedAt=1632378395280,,,kulkas-1-pintu-lg-gn201ck,Kulkas 1 Pintu LG GN201CK
https://ik.imagekit.io/eropa/products/Freezer_AQUA_AQFS4_cswWmkAJBk.png?updatedAt=1632381385610,"[{""name"":""Berat"",""value"":""36 kg""},{""name"":""Panjang"",""value"":""54,5 cm""},{""name"":""Lebar"",""value"":"" 63,5 cm""},{""name"":""Tinggi"",""value"":""102 cm ""},{""name"":""Rated input selection/impedance"",""value"":""80-100 W""},{""name"":""Power Supply"",""value"":""220 V""},{""name"":""Pintu"",""value"":""silver""},{""name"":""Warna"",""value"":""siver""},{""name"":""Capacity"",""value"":""169 L""},{""name"":""Refrigrant"",""value"":""R-134A""}]",Kulkas,Freezer ,Aqua," AQF-S4",,2571500,"<p>AQUA Freezer AQF-S4 4 Rak hadir dengan desain elegan dan kecanggihan teknologi serta kualitas. Dilengkapi dengan garansi kompressor yang lebih lama yaitu 7 Tahun, bodi yang tahan karat ,Top Table, 100 % CFC Free serta di voltase rendah mesin sanyo freezer tetap jalan.</p>","freezer,pendingin aqua",https://www.tokopedia.com/tokoeropa-1/aqua-aqf-s4-s-kulkas-freezer-asi-berdiri-4-rak-aqf-s4-sanyo-aqfs4,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Freezer_AQUA_AQFS4_cswWmkAJBk.png?updatedAt=1632381385610,,,,kulkas-freezer-aqua-aqf-s4,Kulkas Freezer  Aqua  AQF-S4
https://ik.imagekit.io/eropa/products/Kulkas_LG_GNINV201SL_pKJuJ7hIVqi.png?updatedAt=1632379026026 https://ik.imagekit.io/eropa/products/GN-INV201SL_cmA8zDRSLM.png?updatedAt=1632379250709,"[{""name"":""Berat"",""value"":""35 kg""},{""name"":""Panjang"",""value"":""525 mm""},{""name"":""Lebar"",""value"":""1135 mm""},{""name"":""Tinggi"",""value"":""555 mm""},{""name"":""Rated input selection/impedance"",""value"":""60 W""},{""name"":""Cooling System"",""value"":""Direct Cooling""},{""name"":""Warna"",""value"":""Platinum Silver""},{""name"":""Capacity"",""value"":""169L / 164L""}]",Kulkas,1 Pintu,LG,GNINV201SL,,2950500,"<div class=""product--variation-field--variation_field_features__1586 field field--name-field-features field--type-text-long field--label-hidden field--item"">
<p>Fitur :<br />- Inverter Compressor<br />- Full Plat<br />- Bio Shield<br />- Big Veggie Box<br />- Rak Kokoh dengan Tempered GlassMaterial tempered glass yang digunakan memberinya kekuatan menahan bobot hingga 150kg.<br />*Berdasarkan uji kekokohan rak kaca.</p>
</div>","kulkas,kulkas1pintu,kulkasLG",https://www.tokopedia.com/tokoeropa-1/lg-kulkas-1-pintu-gn-inv201sl,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_LG_GNINV201SL_pKJuJ7hIVqi.png?updatedAt=1632379026026,https://ik.imagekit.io/eropa/products/GN-INV201SL_cmA8zDRSLM.png?updatedAt=1632379250709,,,kulkas-1-pintu-lg-gninv201sl,Kulkas 1 Pintu LG GNINV201SL
https://ik.imagekit.io/eropa/products/Chest_Freezer_SHARP_FRW210_5A6xJB0Fqb.png?updatedAt=1632381346771,"[{""name"":""Berat"",""value"":"" 46 kg""},{""name"":""Panjang"",""value"":""93 cm""},{""name"":""Lebar"",""value"":""87 cm""},{""name"":""Tinggi"",""value"":""54  cm""},{""name"":""Rated input selection/impedance"",""value"":""140 W""},{""name"":""Power Supply"",""value"":""220 - 240 V""},{""name"":""Pintu"",""value"":""kaca""},{""name"":""Warna"",""value"":""Putih""},{""name"":""Capacity"",""value"":""212 L""},{""name"":""Refrigrant"",""value"":""R-134a""}]",Kulkas,Chest Freezer,Sharp,"FRW210
",,3711000,"<p>FRW-210 Chest Freezer merupakan chest freezer yang didesain dengan dilengkapi pintu geser.</p>
<p>Dengan Refrigerant R-134a membuat freezer ini lebih cepat dingin serta kesegarannya terjaga.</p>
<p>FRW-210 Chest Freezer ini juga menggunakan komsumsi daya listrik sebesar 140 watt.</p>","chest freezer,pendingin sharp",https://www.tokopedia.com/tokoeropa-1/sharp-chest-freezer-frw210,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Chest_Freezer_SHARP_FRW210_5A6xJB0Fqb.png?updatedAt=1632381346771,,,,kulkas-chest-freezer-sharp-frw210,"Kulkas Chest Freezer Sharp FRW210
"
https://ik.imagekit.io/eropa/products/Kulkas_POLYTRON_PRX212N_zs48ChEPKJ.png?updatedAt=1632381295309,"[{""name"":""Berat"",""value"":""40 kg""},{""name"":""Rated input selection/impedance"",""value"":""140 W""},{""name"":""Power Supply"",""value"":""220v/50hz""},{""name"":""Capacity"",""value"":""210 L""},{""name"":""Refrigrant"",""value"":""R 134a\n""},{""name"":""Ice Make"",""value"":""Yes""}]",Kulkas,2 Pintu,Polytron,PRX212N,,2717000,"<div class=""product--variation-field--variation_field_features__1586 field field--name-field-features field--type-text-long field--label-hidden field--item"">
<p>Fitur :<br />- LED Lighting<br />- 4D Quick Freezing<br />- Tempered Glass Rack<br />- Tempered Glass Door<br />- Ice Twist Tray<br />- Perfect Door Sealed<br />- Jumbo Freezer</p>
</div>","kulkas,kulkas2pintu,kulkaspolytron",https://www.tokopedia.com/tokoeropa-1/kulkas-polytron-prx-212-n-kulkas-lemari-es-2-pintu-prx212n-belleza,https://tinyurl.com/WATokoEropa,https://ik.imagekit.io/eropa/products/Kulkas_POLYTRON_PRX212N_zs48ChEPKJ.png?updatedAt=1632381295309,,,,kulkas-2-pintu-polytron-prx212n,Kulkas 2 Pintu Polytron PRX212N
